symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,price_30d_return_pct,price_trend,dist_ma200_pct,position_in_52w_range_pct,summary
VVV,100,50,30,20,29.45,4542835200,Consumer Cyclical,Auto & Truck Dealerships,2.62,6,0,1.24,-6.0,dropping,-16.2,1.3,2X spike (6d) | vol trend up | separate spike events | price down + vol up | near 52w low (1% range)
WPC,75,40,20,15,63.48,16504967168,Real Estate,REIT - Diversified,2.84,1,0,1.05,-2.6,flat,2.8,76.4,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +9%
CRS,75,40,20,15,318.27,21257990144,Industrials,Metal Fabrication,2.2,1,0,1.01,-4.1,flat,25.4,88.5,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +12%
ACM,75,50,25,0,96.27,10419369984,Industrials,Engineering & Construction,2.94,6,0,1.39,-26.5,dropping,-14.2,24.1,2X spike (6d) | vol trend up | separate spike events | price down + vol up | near 52w low (24% range)
TFSL,75,50,5,20,13.12,4234525184,Financial Services,Banks - Regional,3.13,3,1,1.24,2.8,flat,5.1,70.4,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
XEL,75,40,20,15,73.65,49560760320,Utilities,Utilities - Regulated Electric,2.67,2,0,1.09,-8.1,dropping,2.7,62.4,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +3%
FE,75,40,20,15,44.08,25641854976,Utilities,Utilities - Regulated Electric,2.69,1,0,1.0,-3.4,flat,5.9,75.4,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +12%
COKE,75,40,20,15,154.2,11602822144,Consumer Defensive,Beverages - Non-Alcoholic,3.75,1,1,1.04,-3.1,flat,21.2,77.1,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +8%
BAX,75,40,15,20,19.29,9291277312,Healthcare,Medical Instruments & Supplies,2.16,1,0,1.01,8.7,rising,-24.3,9.6,2X spike (1d) | vol trend up | near 52w low (10% range) | quiet/consolidating | rev +3%
BMRN,75,50,10,15,58.99,10448956416,Healthcare,Biotechnology,6.99,2,2,1.11,8.3,rising,2.4,36.2,2X spike (2d) | vol trend up | separate spike events | near 52w low (36% range) | rev +3%
CPB,75,40,30,5,27.16,6213372928,Consumer Defensive,Packaged Foods,2.93,2,0,1.11,-8.7,dropping,-13.4,2.9,2X spike (2d) | vol trend up | price down + vol up | near 52w low (3% range) | quiet/consolidating
HXL,75,50,5,20,74.65,7189719040,Industrials,Aerospace & Defense,2.78,3,0,1.03,7.2,rising,22.4,87.6,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
ETN,75,40,20,15,318.98,155906342912,Industrials,Specialty Industrial Machinery,3.04,2,1,1.11,-6.4,dropping,-5.1,54.4,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +17%
EXE,75,40,20,15,111.41,22951616512,Energy,Oil & Gas E&P,2.41,1,0,1.01,-4.2,flat,5.4,59.9,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +41%
PSX,75,40,20,15,128.5,68784406528,Energy,Oil & Gas Refining & Marketing,2.06,2,0,1.03,-5.2,dropping,5.0,72.7,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +7%
VTR,75,40,20,15,77.87,42423173120,Real Estate,REIT - Healthcare Facilities,3.88,1,1,1.07,-0.2,flat,14.7,88.5,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +22%
DTE,75,40,20,15,128.77,29248782336,Utilities,Utilities - Regulated Electric,2.47,3,0,1.07,-4.8,flat,-2.9,57.6,2X spike (3d) | vol trend up | price down + vol up | quiet/consolidating | rev +16%
SPCE,75,50,25,0,3.3,277583648,Industrials,Aerospace & Defense,3.65,3,1,1.01,-7.8,dropping,-3.4,24.4,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (24% range)
AEE,75,40,20,15,100.06,30174566400,Utilities,Utilities - Regulated Electric,2.68,2,0,1.05,-3.7,flat,2.3,75.8,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +8%
CUBE,75,40,15,20,35.26,9209032704,Real Estate,REIT - Industrial,2.65,1,0,1.06,0.8,flat,-8.3,30.2,2X spike (1d) | vol trend up | near 52w low (30% range) | quiet/consolidating | rev +3%
PAYO,75,40,15,20,5.71,1727457792,Technology,Software - Infrastructure,2.82,1,0,1.02,5.7,rising,-11.9,12.7,2X spike (1d) | vol trend up | near 52w low (13% range) | quiet/consolidating | rev +6%
GTM,75,50,5,20,10.03,1947779968,Technology,Software - Application,3.19,2,1,1.09,4.3,flat,-1.0,53.7,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +3%
SEB,75,50,5,20,4466.95,4348523520,Industrials,Conglomerates,3.02,13,1,1.49,10.7,rising,34.5,86.4,2X spike (13d) | vol trend up | separate spike events | quiet/consolidating | rev +4%
AMGN,75,40,20,15,326.43,179118014464,Healthcare,Drug Manufacturers - General,5.12,1,1,1.1,-3.1,flat,11.8,81.8,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +6%
CVX,75,40,20,15,150.83,361713958912,Energy,Oil & Gas Integrated,2.79,1,0,1.1,-0.5,flat,3.2,69.3,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +2%
LKQ,75,40,15,20,30.51,7360906752,Consumer Cyclical,Auto Parts,15.79,1,1,1.27,4.1,flat,-9.6,17.6,2X spike (1d) | vol trend up | near 52w low (18% range) | quiet/consolidating | rev +4%
NCNO,75,50,5,20,26.04,2035658240,Technology,Software - Application,2.67,3,0,1.12,4.9,flat,-2.4,43.5,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +6%
MPC,75,40,20,15,163.0,71486521344,Energy,Oil & Gas Refining & Marketing,3.3,1,1,1.08,-16.0,dropping,-2.8,57.4,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +9%
DOX,75,40,15,20,80.03,6857651200,Technology,Software - Infrastructure,3.8,1,1,1.05,8.3,rising,-4.5,34.9,2X spike (1d) | vol trend up | near 52w low (35% range) | quiet/consolidating | rev +4%
TAP,75,40,15,20,46.32,7954053120,Consumer Defensive,Beverages - Brewers,6.41,1,1,1.14,3.7,flat,-5.9,21.2,2X spike (1d) | vol trend up | near 52w low (21% range) | quiet/consolidating | rev +2%
LDOS,75,40,20,15,182.9,16365946880,Technology,Information Technology Services,3.04,1,1,1.02,-2.7,flat,9.1,73.5,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +4%
RYN,75,40,15,20,21.46,6194574848,Real Estate,REIT - Specialty,2.39,1,0,1.02,2.5,flat,-3.9,28.5,2X spike (1d) | vol trend up | near 52w low (29% range) | quiet/consolidating | rev +234%
MSFT,75,40,20,15,486.37,3083691884544,Technology,Software - Infrastructure,3.21,1,1,1.05,-3.8,flat,2.5,68.6,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +18%
XYL,75,40,20,15,137.13,27032881152,Industrials,Specialty Industrial Machinery,2.58,1,0,1.06,-2.1,flat,3.2,70.1,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +3%
AMG,75,50,5,20,290.34,7997578752,Financial Services,Asset Management,3.83,5,2,1.2,15.6,rising,35.1,94.2,2X spike (5d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
MRP,75,50,5,20,28.49,4471670784,Real Estate,REIT - Residential,6.03,9,6,1.41,1.8,flat,3.1,70.1,2X spike (9d) | vol trend up | separate spike events | quiet/consolidating | rev +136%
PEG,75,40,20,15,80.26,38435528704,Utilities,Utilities - Regulated Electric,2.31,1,0,1.01,-1.1,flat,0.0,47.3,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +19%
HRB,75,40,15,20,42.97,4685057024,Consumer Cyclical,Personal Services,3.1,1,1,1.13,0.5,flat,-15.7,11.7,2X spike (1d) | vol trend up | near 52w low (12% range) | quiet/consolidating | rev +5%
ATO,75,40,20,15,167.65,30190788608,Utilities,Utilities - Regulated Gas,4.93,1,1,1.13,-3.5,flat,4.6,76.2,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +1%
SHC,75,50,5,20,17.75,4499935232,Healthcare,Diagnostics & Research,2.72,3,0,1.01,16.3,rising,26.9,99.1,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
MCK,75,40,20,15,826.64,88330805248,Healthcare,Medical Distribution,2.02,1,0,1.06,-3.2,flat,12.3,79.7,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +6%
INO,75,50,25,0,1.76,119124256,Healthcare,Biotechnology,4.11,2,2,1.1,-11.1,dropping,-12.3,27.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (27% range)
EPAM,75,50,5,20,206.31,5184217088,Technology,Information Technology Services,2.33,2,0,1.02,16.0,rising,21.3,52.1,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +8%
PCG,75,40,20,15,15.98,35389751296,Utilities,Utilities - Regulated Electric,2.23,1,0,1.03,-1.5,flat,2.7,42.4,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +15%
MHK,75,40,15,20,109.68,6328764928,Consumer Cyclical,"Furnishings, Fixtures & Appliances",14.1,1,1,1.21,5.5,rising,-4.2,28.7,2X spike (1d) | vol trend up | near 52w low (29% range) | quiet/consolidating | rev +8%
DUK,75,40,20,15,116.69,96802463744,Utilities,Utilities - Regulated Electric,2.27,1,0,1.04,-6.0,dropping,-1.0,59.0,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +11%
D,75,40,20,15,58.44,54429495296,Utilities,Utilities - Regulated Electric,3.42,2,1,1.17,-2.9,flat,3.9,80.2,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +23%
CNP,75,40,20,15,38.4,27291951104,Utilities,Utilities - Regulated Electric,2.18,1,0,1.0,-3.4,flat,3.0,84.0,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +2%
PDD,75,40,20,15,113.83,140603097088,Consumer Cyclical,Internet Retail,2.39,1,0,1.11,-11.8,dropping,-2.3,51.1,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +12%
TFX,75,40,15,20,121.27,5890594304,Healthcare,Medical Instruments & Supplies,4.75,2,1,1.09,17.1,rising,-1.2,23.7,2X spike (2d) | vol trend up | near 52w low (24% range) | quiet/consolidating | rev +32%
NEE,75,40,20,15,79.98,194145288192,Utilities,Utilities - Regulated Electric,3.08,1,1,1.01,-5.5,dropping,8.8,75.9,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +7%
FHB,75,50,5,20,25.33,3325883136,Financial Services,Banks - Regional,2.65,3,0,1.05,9.4,rising,6.1,79.2,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +7%
FLO,75,40,15,20,10.63,1788068480,Consumer Defensive,Packaged Foods,2.02,1,0,1.08,1.0,flat,-23.8,8.7,2X spike (1d) | vol trend up | near 52w low (9% range) | quiet/consolidating | rev +7%
LOPE,75,40,15,20,167.0,4403759104,Consumer Defensive,Education & Training Services,2.92,1,0,1.07,2.4,flat,-9.9,23.5,2X spike (1d) | vol trend up | near 52w low (23% range) | quiet/consolidating | rev +7%
GPN,70,40,15,15,79.05,18916327424,Industrials,Specialty Business Services,2.9,1,0,1.07,9.6,rising,-3.0,28.8,2X spike (1d) | vol trend up | near 52w low (29% range) | quiet/consolidating | rev +64%
KEYS,70,50,5,15,206.01,61792346112,Technology,Scientific & Technical Instruments,3.37,3,1,1.03,17.4,rising,23.0,90.8,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +23%
ZTS,70,40,15,15,125.33,34724667392,Healthcare,Drug Manufacturers - Specialty & Generic,4.74,2,1,1.21,6.4,rising,-14.0,18.5,2X spike (2d) | vol trend up | near 52w low (18% range) | quiet/consolidating | rev +3%
GLPI,70,50,5,15,44.32,13656957952,Real Estate,REIT - Specialty,2.41,3,0,1.18,4.4,flat,0.1,50.4,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +6%
CCK,70,50,5,15,103.39,11307640832,Consumer Cyclical,Packaging & Containers,6.91,2,1,1.09,9.2,rising,7.1,84.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +13%
BIRK,70,40,10,20,41.25,7234864128,Consumer Cyclical,Footwear & Accessories,4.78,3,1,1.14,4.4,flat,-13.1,12.6,2X spike (3d) | vol trend up | near 52w low (13% range) | rev +11% | midcap sweet spot
ZBH,70,40,15,15,90.54,15927766016,Healthcare,Medical Devices,2.78,1,0,1.02,2.7,flat,-6.6,20.0,2X spike (1d) | vol trend up | near 52w low (20% range) | quiet/consolidating | rev +9%
UAA,70,50,15,5,5.14,2738472704,Consumer Cyclical,Apparel Manufacturing,4.1,2,1,1.04,20.7,rising,-8.3,22.0,2X spike (2d) | vol trend up | separate spike events | near 52w low (22% range) | quiet/consolidating
CNA,70,50,5,15,45.53,11778938880,Financial Services,Insurance - Property & Casualty,6.8,2,1,1.11,4.6,flat,4.0,74.5,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
FOX,70,50,5,15,65.04,24077416448,Communication Services,Entertainment,3.25,2,1,1.09,12.6,rising,23.5,98.5,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +2%
PSN,70,40,25,5,62.25,5261203456,Technology,Information Technology Services,9.22,5,2,1.33,-23.6,dropping,-15.0,17.7,2X spike (5d) | vol trend up | price down + vol up | near 52w low (18% range) | midcap sweet spot
INVH,70,40,15,15,27.62,17066825728,Real Estate,REIT - Residential,2.07,1,0,1.03,0.8,flat,-7.7,24.7,2X spike (1d) | vol trend up | near 52w low (25% range) | quiet/consolidating | rev +9%
REG,70,50,5,15,68.93,14504284160,Real Estate,REIT - Retail,3.35,2,1,1.05,1.8,flat,-0.1,59.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
MRK,70,50,5,15,105.28,275089031168,Healthcare,Drug Manufacturers - General,3.38,3,1,1.17,15.2,rising,26.1,95.8,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +5%
GRMN,70,50,5,15,204.31,46302846976,Technology,Scientific & Technical Instruments,3.5,2,1,1.07,8.5,rising,-4.2,40.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +14%
GDDY,70,40,15,15,126.08,12078070784,Technology,Software - Infrastructure,3.08,1,1,1.01,0.7,flat,-19.0,4.4,2X spike (1d) | vol trend up | near 52w low (4% range) | quiet/consolidating | rev +6%
ASH,70,50,0,20,58.76,2518785536,Basic Materials,Specialty Chemicals,3.15,3,1,1.08,20.2,rising,14.5,55.6,2X spike (3d) | vol trend up | separate spike events | rev +1% | midcap sweet spot
FAST,70,40,15,15,40.43,50708705280,Industrials,Industrial Distribution,3.25,1,1,1.01,2.9,flat,-4.5,39.7,2X spike (1d) | vol trend up | near 52w low (40% range) | quiet/consolidating | rev +12%
VNOM,70,40,15,15,38.53,16797363200,Energy,Oil & Gas Midstream,2.88,1,0,1.06,6.5,rising,2.0,36.0,2X spike (1d) | vol trend up | near 52w low (36% range) | quiet/consolidating | rev +109%
EXR,70,40,15,15,130.05,31625439232,Real Estate,REIT - Industrial,2.57,1,0,1.0,2.0,flat,-5.3,37.8,2X spike (1d) | vol trend up | near 52w low (38% range) | quiet/consolidating | rev +4%
GE,70,50,5,15,311.34,310471131136,Industrials,Aerospace & Defense,2.84,3,0,1.12,4.0,flat,19.5,96.3,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +25%
VLTO,70,50,5,15,101.08,21327839232,Industrials,Pollution & Treatment Controls,3.81,2,2,1.1,3.4,flat,0.6,67.2,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +7%
XPO,70,50,5,15,137.69,24010342400,Industrials,Trucking,2.84,3,0,1.06,7.6,rising,9.9,75.2,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +7%
JPM,70,50,5,15,320.33,809480355840,Financial Services,Banks - Diversified,2.87,3,0,1.07,7.7,rising,14.0,94.3,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +13%
URI,70,50,5,15,815.41,58699821056,Industrials,Rental & Leasing Services,2.28,2,0,1.15,1.3,flat,2.3,59.3,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +7%
PLD,70,50,5,15,127.98,134340575232,Real Estate,REIT - Industrial,2.94,2,0,1.03,5.3,rising,15.9,96.5,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +8%
FNF,70,50,5,15,54.64,13613988864,Financial Services,Insurance - Specialty,2.62,3,0,1.07,1.1,flat,-0.0,49.7,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +17%
RPM,70,40,15,15,104.02,12911308800,Basic Materials,Specialty Chemicals,5.04,1,1,1.1,1.0,flat,-6.4,32.2,2X spike (1d) | vol trend up | near 52w low (32% range) | quiet/consolidating | rev +9%
BRK-B,70,50,5,15,503.71,1026532966400,Financial Services,Insurance - Diversified,3.19,2,1,1.01,0.1,flat,1.1,62.4,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +4%
LIN,70,50,5,15,426.93,228011196416,Basic Materials,Specialty Chemicals,2.5,2,0,1.11,2.9,flat,-4.9,42.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +8%
AIG,70,50,5,15,85.62,40486547456,Financial Services,Insurance - Diversified,2.97,3,0,1.03,13.2,rising,7.2,94.1,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +1%
LPX,70,50,15,5,82.02,5250345984,Industrials,Building Products & Equipment,3.62,2,1,1.06,10.3,rising,-6.9,19.8,2X spike (2d) | vol trend up | separate spike events | near 52w low (20% range) | quiet/consolidating
ADP,70,40,15,15,257.4,85141397504,Technology,Software - Application,3.79,1,1,1.11,4.1,flat,-10.1,17.7,2X spike (1d) | vol trend up | near 52w low (18% range) | quiet/consolidating | rev +7%
IDXX,70,50,5,15,682.32,44183154688,Healthcare,Diagnostics & Research,3.35,3,1,1.08,2.0,flat,17.6,78.8,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +14%
TROW,70,50,5,15,102.12,22568701952,Financial Services,Asset Management,2.25,2,0,1.07,7.7,rising,6.3,70.9,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +5%
TOL,70,50,5,15,136.1,13059147776,Consumer Cyclical,Residential Construction,2.67,3,0,1.07,7.8,rising,11.7,79.7,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +15%
V,70,50,5,15,352.89,606256889856,Financial Services,Credit Services,3.05,2,1,1.08,8.6,rising,2.8,73.3,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +17%
EIX,70,50,5,15,58.76,26531540992,Utilities,Utilities - Regulated Electric,2.73,2,0,1.04,4.5,flat,10.6,46.5,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +8%
DE,70,50,20,0,466.95,155268481024,Industrials,Farm & Heavy Construction Machinery,3.9,2,1,1.15,-1.3,flat,-2.5,54.1,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
ROST,70,50,5,15,181.07,73037094912,Consumer Cyclical,Apparel Retail,3.0,3,1,1.18,14.1,rising,23.0,93.2,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +12%
BR,70,40,15,15,224.01,17290915840,Technology,Information Technology Services,3.61,1,1,1.03,0.6,flat,-4.7,25.7,2X spike (1d) | vol trend up | near 52w low (26% range) | quiet/consolidating | rev +8%
AKAM,70,50,5,15,87.97,21565661184,Technology,Software - Infrastructure,7.9,2,1,1.12,0.4,flat,11.2,56.5,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +6%
USFD,70,50,5,15,75.92,18586707968,Consumer Defensive,Food Distribution,3.64,3,1,1.1,6.6,rising,1.5,66.9,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +3%
ADI,70,50,5,15,273.96,203346788352,Technology,Semiconductors,2.69,4,0,1.08,19.9,rising,19.2,92.6,2X spike (4d) | vol trend up | separate spike events | quiet/consolidating | rev +30%
RARE,70,40,25,5,22.78,2572538624,Healthcare,Biotechnology,11.97,2,2,1.28,-30.0,dropping,-31.6,15.6,2X spike (2d) | vol trend up | price down + vol up | near 52w low (16% range) | midcap sweet spot
INTU,70,50,5,15,666.59,110282801152,Technology,Software - Application,2.41,2,0,1.09,3.7,flat,-1.6,49.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +17%
MAS,70,40,15,15,63.93,14472427520,Industrials,Building Products & Equipment,2.3,1,0,1.05,8.2,rising,-2.5,33.9,2X spike (1d) | vol trend up | near 52w low (34% range) | quiet/consolidating | rev +6%
OMC,70,50,5,15,79.93,21962577920,Communication Services,Advertising Agencies,3.04,5,1,1.23,11.6,rising,8.7,71.7,2X spike (5d) | vol trend up | separate spike events | quiet/consolidating | rev +69%
ECL,70,50,5,15,263.77,71547043840,Basic Materials,Specialty Chemicals,2.32,2,0,1.02,3.8,flat,0.9,68.9,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +10%
PODD,70,40,15,15,287.03,10677841920,Healthcare,Medical Devices,2.81,2,0,1.18,-12.5,dropping,-5.3,45.6,2X spike (2d) | vol trend up | price down + vol up | rev +34%
JAZZ,70,50,5,15,170.82,14166701056,Healthcare,Biotechnology,7.15,4,2,1.31,0.4,flat,33.8,86.1,2X spike (4d) | vol trend up | separate spike events | quiet/consolidating | rev +19%
RSG,70,40,15,15,213.45,61482872832,Industrials,Waste Management,2.87,1,0,1.09,2.3,flat,-7.4,28.5,2X spike (1d) | vol trend up | near 52w low (28% range) | quiet/consolidating | rev +3%
CARR,70,40,15,15,53.01,55507689472,Industrials,Building Products & Equipment,2.48,1,0,1.09,0.6,flat,-16.0,10.3,2X spike (1d) | vol trend up | near 52w low (10% range) | quiet/consolidating | rev +2%
SNOW,70,40,15,15,222.05,52701962240,Technology,Software - Application,4.68,3,1,1.12,-12.2,dropping,5.5,63.5,2X spike (3d) | vol trend up | price down + vol up | rev +30%
SNDK,70,40,15,15,240.22,231366557696,Technology,Computer Hardware,4.53,3,1,1.07,-9.7,dropping,149.3,82.7,2X spike (3d) | vol trend up | price down + vol up | rev +251%
BAH,70,50,15,5,84.51,9290592256,Industrials,Consulting Services,8.41,3,1,1.08,4.3,flat,-16.5,9.2,2X spike (3d) | vol trend up | separate spike events | near 52w low (9% range) | quiet/consolidating
CRH,70,50,5,15,125.37,76014452736,Basic Materials,Building Materials,22.93,3,2,1.53,15.2,rising,20.2,93.4,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +9%
GFS,70,40,15,15,36.12,40648630272,Technology,Semiconductors,14.38,1,1,1.18,9.6,rising,0.4,35.4,2X spike (1d) | vol trend up | near 52w low (35% range) | quiet/consolidating | rev +3%
LBRDA,70,50,15,5,48.62,5184760320,Communication Services,Telecom Services,3.34,2,2,1.22,5.0,flat,-29.0,8.0,2X spike (2d) | vol trend up | separate spike events | near 52w low (8% range) | quiet/consolidating
ROK,70,50,5,15,392.32,50506137600,Industrials,Specialty Industrial Machinery,2.55,2,0,1.05,6.4,rising,19.4,89.1,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +12%
ALGN,70,40,15,15,158.14,12087707648,Healthcare,Medical Instruments & Supplies,4.72,1,1,1.07,19.3,rising,-0.6,31.4,2X spike (1d) | vol trend up | near 52w low (31% range) | quiet/consolidating | rev +6%
RH,70,40,10,20,181.93,2530623744,Consumer Cyclical,Specialty Retail,3.32,2,1,1.08,27.7,rising,-6.2,17.7,2X spike (2d) | vol trend up | near 52w low (18% range) | rev +4% | midcap sweet spot
ZG,70,40,10,20,69.34,9595947008,Communication Services,Internet Content & Information,4.03,2,1,1.1,3.3,flat,-3.3,37.8,2X spike (2d) | vol trend up | near 52w low (38% range) | rev +18% | midcap sweet spot
ECG,70,50,0,20,87.63,8332032512,Industrials,Engineering & Construction,3.54,2,1,1.08,0.7,flat,25.6,78.5,2X spike (2d) | vol trend up | separate spike events | rev +25% | midcap sweet spot
HIG,70,50,5,15,138.25,36190752768,Financial Services,Insurance - Diversified,2.74,2,0,1.02,5.6,rising,9.4,95.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +6%
BRBR,70,40,10,20,26.69,1198824704,Consumer Defensive,Packaged Foods,3.77,3,1,1.17,4.2,flat,-45.4,7.3,2X spike (3d) | vol trend up | near 52w low (7% range) | rev +2% | midcap sweet spot
AMP,70,50,5,15,491.22,41852489728,Financial Services,Asset Management,3.23,2,1,1.04,12.2,rising,0.6,56.0,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +9%
NWSA,70,40,15,15,26.28,14786685952,Communication Services,Entertainment,3.6,1,1,1.01,3.6,flat,-4.7,37.2,2X spike (1d) | vol trend up | near 52w low (37% range) | quiet/consolidating | rev +9%
NXPI,70,50,5,15,218.84,74415849472,Technology,Semiconductors,4.0,2,1,1.07,16.0,rising,5.0,70.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +12%
WMT,70,50,5,15,111.48,1039656222720,Consumer Defensive,Discount Stores,2.8,4,0,1.19,8.9,rising,12.4,85.5,2X spike (4d) | vol trend up | separate spike events | quiet/consolidating | rev +6%
HPQ,70,40,15,15,22.53,20819888128,Technology,Computer Hardware,2.38,1,0,1.05,1.3,flat,-10.2,18.0,2X spike (1d) | vol trend up | near 52w low (18% range) | quiet/consolidating | rev +7%
ES,70,40,15,15,66.84,25013084160,Utilities,Utilities - Regulated Electric,3.58,2,1,1.06,-7.7,dropping,5.1,71.3,2X spike (2d) | vol trend up | price down + vol up | rev +9%
ERIE,70,40,15,15,284.71,11289381888,Financial Services,Insurance Brokers,4.67,1,1,1.05,0.2,flat,-15.5,8.0,2X spike (1d) | vol trend up | near 52w low (8% range) | quiet/consolidating | rev +2%
MA,70,50,5,15,575.56,437798141952,Financial Services,Credit Services,2.71,2,0,1.03,7.6,rising,3.1,82.9,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +16%
DRI,70,40,15,15,182.18,22475202560,Consumer Cyclical,Restaurants,3.44,2,2,1.17,7.7,rising,-6.0,28.6,2X spike (2d) | vol trend up | near 52w low (29% range) | quiet/consolidating | rev +6%
PAYX,70,40,15,15,112.22,33654261760,Technology,Software - Application,3.64,2,1,1.1,2.6,flat,-15.6,10.7,2X spike (2d) | vol trend up | near 52w low (11% range) | quiet/consolidating | rev +20%
ALSN,70,50,5,15,98.66,10298990592,Consumer Cyclical,Auto Parts,2.97,2,0,1.05,25.2,rising,8.8,51.9,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +84%
WM,70,50,5,15,221.24,86487367680,Industrials,Waste Management,2.48,2,0,1.01,7.2,rising,0.0,61.8,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +4%
XYZ,70,50,5,15,65.54,44549296128,Technology,Software - Infrastructure,3.06,3,1,1.1,11.3,rising,-2.2,42.6,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +5%
BIIB,70,50,5,15,176.4,28560400384,Healthcare,Drug Manufacturers - General,7.9,2,1,1.15,7.1,rising,25.1,88.3,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +2%
ADSK,70,50,5,15,299.54,51625013248,Technology,Software - Application,3.12,3,1,1.14,2.6,flat,1.4,69.4,2X spike (3d) | vol trend up | separate spike events | quiet/consolidating | rev +19%
