symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,rev_growth_pct,short_pct,max_vol_spike,spike_days,price_30d_ret,price_trend,position_in_range
AXON,55,25,15,15,572.11,32526163968,Industrials,33.7,4.5,3.64,1,5.3,rising,24.7
MPWR,55,35,5,15,920.51,78649270272,Technology,26.1,4.3,8.88,1,3.0,flat,70.9
GEN,55,35,5,15,27.31,13736454144,Technology,27.0,5.3,5.17,2,5.0,rising,52.8
INVH,55,35,10,10,27.62,17066825728,Real Estate,9.2,4.4,2.07,1,0.8,flat,24.7
REG,55,40,5,10,68.93,14504284160,Real Estate,10.0,3.3,3.35,2,1.8,flat,59.6
GRMN,55,40,5,10,204.31,46302846976,Technology,14.2,1.9,3.5,2,8.5,rising,40.6
LUNR,55,35,5,15,15.94,4634095104,Industrials,-18.1,23.9,5.65,3,82.6,rising,52.1
OC,55,35,15,5,111.56,9797880832,Industrials,-10.5,6.4,6.55,1,14.1,rising,16.9
JBL,55,35,5,15,231.5,37469257728,Technology,23.1,2.7,3.15,1,15.5,rising,95.7
XEL,55,35,15,5,73.65,49560760320,Utilities,2.9,5.1,2.67,2,-8.1,dropping,62.4
GE,55,40,0,15,311.34,310471131136,Industrials,24.7,1.2,2.84,3,4.0,flat,96.3
VLTO,55,40,5,10,101.08,21327839232,Industrials,6.8,1.8,3.81,2,3.4,flat,67.2
DELL,55,30,0,25,126.97,169348153344,Technology,39.5,8.3,2.31,3,4.4,flat,60.9
MELI,55,30,10,15,2020.88,82764169216,Consumer Cyclical,49.0,2.0,2.39,2,-1.8,flat,34.4
ALAB,55,30,0,25,170.84,34245591040,Technology,93.4,11.1,3.0,2,20.8,rising,57.3
RBLX,55,30,10,15,81.81,30006669312,Communication Services,39.3,3.0,2.03,2,-19.2,dropping,31.6
REXR,55,35,15,5,38.78,8391589376,Real Estate,-2.9,5.3,2.16,1,-1.4,flat,69.7
MCHP,55,40,0,15,64.3,53621112832,Technology,35.1,5.9,2.83,2,26.2,rising,73.5
PRMB,55,25,10,20,16.34,8429436928,Consumer Defensive,0.8,40.4,2.44,1,5.8,rising,10.3
FTAI,55,25,5,25,197.35,27727153152,Industrials,65.5,8.8,3.04,1,29.4,rising,98.2
FLEX,55,40,5,10,61.67,52272201728,Technology,16.9,2.8,5.88,7,5.0,flat,77.6
HXL,55,40,0,15,74.65,7189719040,Industrials,9.9,6.3,2.78,3,7.2,rising,87.6
EXP,55,35,15,5,209.89,6614893568,Basic Materials,-0.4,7.4,4.49,1,5.7,rising,25.7
NLY,55,35,5,15,21.59,16568071168,Real Estate,48.8,0.0,3.26,1,7.1,rising,95.6
RRC,55,10,15,30,36.0,9547413504,Energy,26.1,8.6,1.62,0,-5.2,dropping,45.4
PATH,55,25,5,25,16.67,5653116928,Technology,13.6,29.7,4.1,1,23.3,rising,69.7
AVGO,55,35,5,15,349.12,2035907428352,Technology,29.5,1.2,5.67,5,2.3,flat,76.9
THG,55,35,5,15,183.28,6617400832,Financial Services,6.1,2.9,5.12,1,3.7,flat,91.5
INGR,55,35,15,5,109.56,6765570048,Consumer Defensive,-1.2,4.6,3.95,1,3.9,flat,23.6
IDXX,55,40,5,10,682.32,44183154688,Healthcare,14.3,3.0,3.35,3,2.0,flat,78.8
AM,55,35,5,15,17.46,9936581632,Energy,8.6,3.3,4.56,1,0.2,flat,68.3
CUBE,55,35,10,10,35.26,9209032704,Real Estate,3.3,3.7,2.65,1,0.8,flat,30.2
V,55,40,5,10,352.89,606256889856,Financial Services,17.1,1.4,3.05,2,8.6,rising,73.3
GAP,55,35,0,20,25.56,8538000384,Consumer Cyclical,2.1,15.6,2.38,1,9.0,rising,76.0
ROST,55,40,5,10,181.07,73037094912,Consumer Cyclical,12.2,2.4,3.0,3,14.1,rising,93.2
SRE,55,35,20,0,88.47,59832250368,Utilities,-3.9,1.7,3.48,1,-2.7,flat,82.8
CVX,55,35,15,5,150.83,361713958912,Energy,2.3,1.0,2.79,1,-0.5,flat,69.3
ADI,55,40,0,15,273.96,203346788352,Technology,30.4,2.3,2.69,4,19.9,rising,92.6
ALGM,55,25,0,30,26.83,9069987840,Technology,26.1,12.7,2.79,1,13.7,rising,47.3
MAS,55,35,10,10,63.93,14472427520,Industrials,6.5,5.3,2.3,1,8.2,rising,33.9
AVB,55,40,10,5,181.23,25607749632,Real Estate,3.4,4.5,2.2,2,4.2,flat,31.7
CZR,55,25,10,20,23.52,5711101440,Consumer Cyclical,2.7,11.2,2.71,1,14.1,rising,24.2
PRI,55,35,5,15,259.3,8561568768,Financial Services,8.1,5.1,5.54,1,2.5,flat,48.9
PSTG,55,35,20,0,67.79,22405251072,Technology,,3.7,5.61,3,-19.4,dropping,50.4
XYL,55,35,15,5,137.13,27032881152,Industrials,2.7,2.8,2.58,1,-2.1,flat,70.1
MDB,55,35,5,15,421.23,24068261888,Technology,26.7,4.1,4.14,2,24.0,rising,93.5
CRH,55,40,5,10,125.37,76014452736,Basic Materials,9.1,2.2,22.93,3,15.2,rising,93.4
SHC,55,40,0,15,17.75,4499935232,Healthcare,10.0,5.2,2.72,3,16.3,rising,99.1
SMG,55,35,0,20,57.16,3553752832,Basic Materials,5.0,10.8,2.12,1,6.9,rising,43.2
TDC,55,30,0,25,30.89,2972619008,Technology,6.2,19.4,2.72,2,18.2,rising,85.3
AMP,55,40,5,10,491.22,41852489728,Financial Services,9.0,3.9,3.23,2,12.2,rising,56.0
NXPI,55,40,5,10,218.84,74415849472,Technology,12.2,3.8,4.0,2,16.0,rising,70.6
FIVE,55,35,5,15,188.59,12337957888,Consumer Cyclical,24.3,4.3,3.22,2,27.7,rising,97.2
CBSH,55,25,15,15,52.54,7564376576,Financial Services,17.3,3.6,3.33,1,8.6,rising,27.5
ALSN,55,40,0,15,98.66,10298990592,Consumer Cyclical,83.6,4.2,2.97,2,25.2,rising,51.9
ADSK,55,40,5,10,299.54,51625013248,Technology,19.4,2.5,3.12,3,2.6,flat,69.4
MDT,55,40,5,10,95.88,97767841792,Healthcare,8.7,1.2,3.24,2,1.1,flat,69.0
CMCSA,55,35,10,10,27.44,90734608384,Communication Services,5.3,2.4,2.98,3,10.1,rising,36.5
AVT,55,25,0,30,48.67,6733356544,Technology,33.9,10.4,2.79,1,9.6,rising,58.3
GEV,55,40,5,10,658.76,279509106688,Industrials,16.3,2.9,3.68,2,14.3,rising,85.1
HUT,55,25,5,25,46.28,11086016512,Financial Services,225.5,17.8,3.08,1,22.8,rising,76.7
IP,55,25,10,20,39.34,17489944576,Consumer Cyclical,13.4,15.2,2.05,1,8.3,rising,19.5
