symbol,run_start_date,peak_date,peak_return_pct,sector,spike_count_90d,days_first_spike_to_run,days_last_spike_to_run,accum_price_trend,accum_price_change_pct,launch_vol_ratio,launch_change_pct,launch_gap_pct,launch_type,days_to_peak,max_drawdown_during_run_pct,run_style,ideal_entry_date,ideal_entry_price,ideal_entry_return_pct,days_entry_to_run,entry_window_days
PLTR,2024-02-02,2025-02-04,510.05,Technology,1,92.0,92.0,flat,3.51,1.02,4.16,0.06,gradual_push,368,-22.64,volatile_climb,,,,,0
CELH,2019-08-21,2020-08-19,508.63,Consumer Defensive,9,131.0,13.0,rising,10.03,1.21,2.96,1.5,gradual_push,364,-51.58,volatile_climb,2019-07-17,1.5,464.0,35.0,28
LAD,2020-03-19,2021-03-17,508.19,Consumer Cyclical,5,90.0,1.0,dropping,-26.78,1.68,10.39,-2.1,gradual_push,363,-25.97,volatile_climb,2020-03-16,73.0116,447.74,3.0,12
RIOT,2019-11-29,2020-11-30,507.91,Financial Services,6,121.0,32.0,dropping,-22.14,0.41,2.96,0.0,gradual_push,367,-61.31,volatile_climb,2019-10-30,1.59,431.45,30.0,7
RKLB,2023-12-18,2024-11-29,507.57,Industrials,5,97.0,3.0,dropping,-22.83,1.58,-4.06,1.52,quiet_start,347,-39.03,volatile_climb,2023-11-15,4.4,520.0,33.0,10
APP,2024-05-15,2025-02-14,506.86,Communication Services,3,90.0,6.0,rising,67.77,1.24,-0.05,0.79,quiet_start,275,-23.64,volatile_climb,2024-05-10,86.43,490.22,5.0,10
TSLA,2019-07-17,2020-07-15,506.61,Consumer Cyclical,5,104.0,55.0,dropping,-18.98,0.92,-0.32,1.3,quiet_start,364,-60.63,volatile_climb,2019-07-26,15.2027,577.96,-9.0,5
CLSK,2023-09-28,2024-03-25,506.22,Financial Services,0,,,rising,8.12,1.1,3.76,0.54,gradual_push,179,-48.85,volatile_climb,2023-10-17,4.17,461.15,-19.0,9
BBAI,2022-11-09,2023-02-06,504.95,Technology,4,96.0,35.0,dropping,-55.31,0.11,-7.34,0.93,quiet_start,89,-41.93,volatile_climb,,,,,0
CLOV,2024-03-15,2025-01-24,504.01,Healthcare,5,129.0,1.0,dropping,-6.97,1.57,7.84,2.07,gradual_push,315,-31.03,volatile_climb,2024-03-13,0.806,498.01,2.0,7
SMMT,2023-06-02,2024-05-30,503.31,Healthcare,7,121.0,77.0,dropping,-35.21,0.58,3.43,2.34,gradual_push,363,-54.99,volatile_climb,,,,,0
RIOT,2023-01-03,2023-07-13,502.08,Financial Services,2,56.0,55.0,dropping,-41.71,0.67,-3.44,2.95,quiet_start,191,-29.24,volatile_climb,,,,,0
OPEN,2024-10-31,2025-09-11,501.14,Real Estate,2,69.0,43.0,dropping,-11.43,1.12,-3.85,-1.09,quiet_start,315,-78.12,volatile_climb,2024-11-11,1.83,474.86,-11.0,6
SMMT,2022-11-22,2023-01-04,501.11,Healthcare,4,95.0,90.0,flat,-1.2,0.11,-2.17,3.6,quiet_start,43,-28.06,volatile_climb,,,,,0
